inflow_method,invites,accepts,gives,schedules,calls
Referred,67798,15629,8054,2533,2191
Referred & Recruited,64488,14193,7720,2662,2330
Wandered,142092,38058,20422,6466,5670
Recruited,463089,106246,59657,19965,17232
