inflow_method,invites,accepts,gives,schedules,calls
Referred,69320,14347,6458,1942,1709
Referred & Recruited,64657,12811,6355,2460,2138
Wandered,141507,35682,16973,5596,5037
Recruited,691583,139107,70595,23253,20547
