inflow_method,invites,accepts,gives,schedules,calls
Referred,61962,12357,5488,1750,1536
Referred & Recruited,57604,11437,5814,2268,1940
Wandered,127255,30730,14667,4829,4300
Recruited,618955,121171,61693,20538,17962
