inflow_method,invites,accepts,gives,schedules,calls
Referred,54104,12154,6377,2043,1757
Referred & Recruited,52628,11848,6502,2397,2032
Wandered,112522,31192,16774,5624,4957
Recruited,444342,101594,57102,19611,16816
