inflow_method,invites,accepts,gives,schedules,calls
Referred,63817,14985,8055,2234,1940
Referred & Recruited,60700,13509,7519,2386,2061
Wandered,133515,36134,19777,5883,5089
Recruited,428469,100579,58007,18076,15492
