inflow_method,invites,accepts,gives,schedules,calls
Referred,53581,13456,6213,1928,1741
Referred & Recruited,51575,12905,6468,2343,2053
Wandered,113659,34141,16262,5228,4724
Recruited,496856,128549,65264,20471,18167
