inflow_method,invites,accepts,gives,schedules,calls
Referred,72119,13628,6318,2046,1801
Referred & Recruited,66606,12339,6310,2497,2151
Wandered,145384,33419,16477,5637,4976
Recruited,724311,134674,69466,24037,21033
