inflow_method,invites,accepts,gives,schedules,calls
Referred,54759,12551,6580,2249,1966
Referred & Recruited,52894,11972,6687,2486,2155
Wandered,115011,31455,16685,5745,5011
Recruited,407916,95003,53629,19207,16564
