inflow_method,invites,accepts,gives,schedules,calls
Referred,53518,12688,5991,1876,1629
Referred & Recruited,51125,11899,6202,2260,1879
Wandered,111566,32182,15808,5171,4510
Recruited,464236,110859,59406,19568,16680
