inflow_method,invites,accepts,gives,schedules,calls
Referred,59928,10529,5017,1662,1469
Referred & Recruited,54173,9694,5213,2219,1820
Wandered,117022,25872,12812,4297,3799
Recruited,629079,108647,58201,20032,17474
