inflow_method,invites,accepts,gives,schedules,calls
Referred,66123,15227,7547,2252,1966
Referred & Recruited,63390,14306,7630,2652,2249
Wandered,137936,38577,20193,6527,5709
Recruited,560178,132555,72834,23997,20607
