inflow_method,invites,accepts,gives,schedules,calls
Referred,59075,13410,6977,2391,2073
Referred & Recruited,57054,12571,6882,2650,2286
Wandered,124128,34101,18202,6351,5534
Recruited,458357,105640,59870,21208,18238
