inflow_method,invites,accepts,gives,schedules,calls
Referred,58638,12376,6419,1931,1714
Referred & Recruited,55175,11632,6375,2356,2016
Wandered,117444,30165,16318,5216,4586
Recruited,523202,112403,63602,20909,17979
