inflow_method,invites,accepts,gives,schedules,calls
Referred,50107,11942,5665,1725,1558
Referred & Recruited,48205,11294,5731,2122,1840
Wandered,104716,29533,14604,4690,4232
Recruited,480739,116878,61002,19000,16970
