inflow_method,invites,accepts,gives,schedules,calls
Referred,45187,8436,3922,1372,1202
Referred & Recruited,41001,7573,3999,1774,1452
Wandered,89457,21426,10605,3785,3386
Recruited,474571,86997,45812,16784,14688
