inflow_method,invites,accepts,gives,schedules,calls
Referred,73074,12340,5728,1931,1713
Referred & Recruited,65678,11430,5904,2305,1941
Wandered,147441,32161,15940,5382,4765
Recruited,744036,126681,66002,22737,19921
