inflow_method,invites,accepts,gives,schedules,calls
Referred,65518,16706,8776,2511,2202
Referred & Recruited,64479,14972,8313,2636,2307
Wandered,142010,40690,21822,6613,5772
Recruited,435760,107835,61984,19814,17094
