inflow_method,invites,accepts,gives,schedules,calls
Referred,58063,12574,6316,1971,1712
Referred & Recruited,55496,11899,6403,2243,1941
Wandered,118352,31713,16501,5639,4995
Recruited,515307,114699,63690,21373,18460
