inflow_method,invites,accepts,gives,schedules,calls
Referred,56548,12627,6634,2101,1883
Referred & Recruited,54567,11649,6430,2408,2053
Wandered,116727,30999,16682,5559,4853
Recruited,465959,106535,60474,20706,17708
