inflow_method,invites,accepts,gives,schedules,calls
Referred,64246,13754,6369,1914,1721
Referred & Recruited,60974,12888,6518,2403,2061
Wandered,131962,34108,16809,5558,4980
Recruited,623862,134168,69787,22389,19798
